month,total_records_started,total_interval_segments,total_raion_time_under_alert_minutes,average_daily_active_raions,average_daily_minutes
2026-01,7663,8564,1065046.4666666666,82.58064516129032,34356.3376344086
2026-02,7351,8068,1126362.8833333333,88.28571428571429,40227.245833333334
2026-03,8908,9838,1174094.8166666667,79.29032258064517,37874.02634408602
2026-04,7889,8683,1008583.5833333334,76.33333333333333,33619.45277777778
2026-05,9378,10181,1182324.2,80.74193548387096,38139.49032258064
2026-06,7097,7741,888426.0499999999,82.47826086956522,38627.21956521739
