oblast,raion,geo_id,total_alert_records,active_days,total_allocated_alert_minutes,average_duration_per_valid_alert,median_duration,longest_valid_alert
Kharkivska oblast,Iziumskyi raion,Kharkivska oblast | Iziumskyi raion,1103,174,139277.28333333333,126.37100332426716,83.4,1039.9333333333334
Kharkivska oblast,Kharkivskyi raion,Kharkivska oblast | Kharkivskyi raion,1346,174,149375.91666666666,110.97764982664685,57.84166666666667,2198.333333333333
Kharkivska oblast,Krasnohradskyi raion,Kharkivska oblast | Krasnohradskyi raion,712,167,50774.48333333333,71.3124765917603,40.025,1031.7666666666669
Kharkivska oblast,Kupianskyi raion,Kharkivska oblast | Kupianskyi raion,1025,173,135563.05,132.36370731707316,85.81666666666666,1991.95
Kharkivska oblast,Lozivskyi raion,Kharkivska oblast | Lozivskyi raion,866,172,78068.78333333334,90.14871054657429,52.6,1040.9166666666667
Khersonska oblast,Beryslavskyi raion,Khersonska oblast | Beryslavskyi raion,656,163,52947.03333333333,80.71194105691058,46.416666666666664,751.35
Khersonska oblast,Henicheskyi raion,Khersonska oblast | Henicheskyi raion,277,129,16510.5,59.604693140794225,29.633333333333333,864.2333333333333
Khersonska oblast,Kakhovskyi raion,Khersonska oblast | Kakhovskyi raion,277,129,16507.816666666666,59.595006016847165,29.616666666666667,864.2333333333333
Khersonska oblast,Khersonskyi raion,Khersonska oblast | Khersonskyi raion,643,161,45544.98333333334,70.83201140487299,39.2,720.8
Khersonska oblast,Skadovskyi raion,Khersonska oblast | Skadovskyi raion,277,129,16504.75,59.58393501805054,29.633333333333333,864.2333333333333
Khmelnytska oblast,Kamianets-Podilskyi raion,Khmelnytska oblast | Kamianets-Podilskyi raion,91,58,6288.2,69.1010989010989,37.23333333333333,411.1833333333333
Khmelnytska oblast,Khmelnytskyi raion,Khmelnytska oblast | Khmelnytskyi raion,108,62,7653.566666666667,70.86635802469135,43.875,432.6166666666667
Khmelnytska oblast,Shepetivskyi raion,Khmelnytska oblast | Shepetivskyi raion,105,66,6971.15,66.39190476190475,41.86666666666667,365.65
Kirovohradska oblast,Holovanivskyi raion,Kirovohradska oblast | Holovanivskyi raion,372,142,19116.633333333335,51.388799283154114,26.491666666666667,534.1333333333333
Kirovohradska oblast,Kropyvnytskyi raion,Kirovohradska oblast | Kropyvnytskyi raion,504,155,31009.3,61.52638888888889,32.0,613.1
Kirovohradska oblast,Novoukrainskyi raion,Kirovohradska oblast | Novoukrainskyi raion,411,144,22453.733333333334,54.631954582319544,27.85,509.01666666666665
Kirovohradska oblast,Oleksandriiskyi raion,Kirovohradska oblast | Oleksandriiskyi raion,499,159,31218.15,62.561422845691375,34.65,676.55
Kyivska oblast,Bilotserkivskyi raion,Kyivska oblast | Bilotserkivskyi raion,233,117,15397.05,66.08175965665235,28.616666666666667,453.28333333333336
Kyivska oblast,Boryspilskyi raion,Kyivska oblast | Boryspilskyi raion,330,144,23202.2,70.30969696969697,30.775,515.5
Kyivska oblast,Brovarskyi raion,Kyivska oblast | Brovarskyi raion,365,145,26468.683333333334,72.51694063926941,33.766666666666666,611.65
Kyivska oblast,Buchanskyi raion,Kyivska oblast | Buchanskyi raion,294,122,19940.716666666667,67.82556689342404,32.266666666666666,667.4166666666666
Kyivska oblast,Fastivskyi raion,Kyivska oblast | Fastivskyi raion,242,122,15209.8,62.85041322314049,28.291666666666664,496.3666666666667
Kyivska oblast,Obukhivskyi raion,Kyivska oblast | Obukhivskyi raion,275,132,18566.0,67.51272727272728,29.98333333333333,505.06666666666666
Kyivska oblast,Vyshhorodskyi raion,Kyivska oblast | Vyshhorodskyi raion,419,145,37855.48333333333,90.34721559268098,48.53333333333333,930.2666666666668
Lvivska oblast,Chervonohradskyi raion,Lvivska oblast | Chervonohradskyi raion,68,45,3380.15,49.70808823529412,28.683333333333334,366.1166666666667
Lvivska oblast,Drohobytskyi raion,Lvivska oblast | Drohobytskyi raion,63,40,3068.6666666666665,48.70899470899471,26.9,366.1166666666667
Lvivska oblast,Lvivskyi raion,Lvivska oblast | Lvivskyi raion,70,47,3577.7833333333333,51.11119047619047,30.241666666666667,366.1166666666667
Lvivska oblast,Sambirskyi raion,Lvivska oblast | Sambirskyi raion,63,40,3043.0666666666666,48.302645502645504,26.9,366.1166666666667
Lvivska oblast,Stryiskyi raion,Lvivska oblast | Stryiskyi raion,68,43,3261.383333333333,47.96151960784314,27.758333333333333,366.1166666666667
Lvivska oblast,Yavorivskyi raion,Lvivska oblast | Yavorivskyi raion,63,40,3088.25,49.01984126984127,26.9,366.1166666666667
Lvivska oblast,Zolochivskyi raion,Lvivska oblast | Zolochivskyi raion,71,46,3729.5499999999997,52.52887323943662,29.883333333333333,366.1166666666667
Mykolaivska oblast,Bashtanskyi raion,Mykolaivska oblast | Bashtanskyi raion,546,157,32263.666666666668,59.090964590964596,35.825,580.1833333333333
Mykolaivska oblast,Mykolaivskyi raion,Mykolaivska oblast | Mykolaivskyi raion,779,167,39995.4,51.34197689345315,29.7,602.5333333333333
Mykolaivska oblast,Pervomaiskyi raion,Mykolaivska oblast | Pervomaiskyi raion,263,124,12522.633333333333,47.61457541191381,28.23333333333333,455.48333333333335
Mykolaivska oblast,Voznesenskyi raion,Mykolaivska oblast | Voznesenskyi raion,308,142,15815.233333333334,51.348160173160174,29.925,474.98333333333335
Odeska oblast,Berezivskyi raion,Odeska oblast | Berezivskyi raion,269,128,12193.95,45.33066914498141,27.4,473.4
Odeska oblast,Bilhorod-Dnistrovskyi raion,Odeska oblast | Bilhorod-Dnistrovskyi raion,453,149,23970.833333333332,52.91574687270051,35.18333333333333,332.9
Odeska oblast,Bolhradskyi raion,Odeska oblast | Bolhradskyi raion,453,149,23960.7,52.89337748344371,35.18333333333333,332.9
Odeska oblast,Izmailskyi raion,Odeska oblast | Izmailskyi raion,453,149,23915.95,52.79459161147903,34.96666666666667,332.9
Odeska oblast,Odeskyi raion,Odeska oblast | Odeskyi raion,652,162,27761.483333333334,42.57896216768916,29.98333333333333,332.9
Odeska oblast,Podilskyi raion,Odeska oblast | Podilskyi raion,269,128,12182.033333333333,45.28636926889715,27.416666666666668,473.4
Odeska oblast,Rozdilnianskyi raion,Odeska oblast | Rozdilnianskyi raion,269,128,12190.05,45.31617100371747,27.4,473.3666666666667
Poltavska oblast,Kremenchutskyi raion,Poltavska oblast | Kremenchutskyi raion,517,161,32506.25,62.874758220502905,29.65,589.0666666666667
Poltavska oblast,Lubenskyi raion,Poltavska oblast | Lubenskyi raion,580,161,36332.3,62.67859195402299,30.299999999999997,716.05
Poltavska oblast,Myrhorodskyi raion,Poltavska oblast | Myrhorodskyi raion,668,163,50259.916666666664,75.27153193612774,37.391666666666666,676.9666666666667
Poltavska oblast,Poltavskyi raion,Poltavska oblast | Poltavskyi raion,771,170,67375.55,87.68127972330306,45.0,1000.75
Rivnenska oblast,Dubenskyi raion,Rivnenska oblast | Dubenskyi raion,77,51,4798.3,62.31558441558442,34.9,396.4
Rivnenska oblast,Rivnenskyi raion,Rivnenska oblast | Rivnenskyi raion,113,69,8031.25,71.07300884955752,46.8,448.95
Rivnenska oblast,Sarnenskyi raion,Rivnenska oblast | Sarnenskyi raion,136,73,11812.733333333334,86.85833333333333,68.18333333333334,479.9333333333333
Rivnenska oblast,Varaskyi raion,Rivnenska oblast | Varaskyi raion,106,65,7673.616666666667,72.39261006289308,47.733333333333334,432.9666666666666
Sumska oblast,Konotopskyi raion,Sumska oblast | Konotopskyi raion,948,170,113993.21666666666,120.25356891701828,68.13333333333333,1367.4166666666667
Sumska oblast,Okhtyrskyi raion,Sumska oblast | Okhtyrskyi raion,903,171,103891.8,115.05987449243263,69.18333333333334,1123.8
Sumska oblast,Romenskyi raion,Sumska oblast | Romenskyi raion,662,165,62623.38333333333,94.60775427995972,47.36666666666667,994.8833333333332
Sumska oblast,Shostkynskyi raion,Sumska oblast | Shostkynskyi raion,932,172,131289.11666666667,140.87571530758225,86.125,1227.2
Sumska oblast,Sumskyi raion,Sumska oblast | Sumskyi raion,1021,174,167389.86666666667,163.9469800848841,87.51666666666667,1477.1833333333334
Ternopilska oblast,Chortkivskyi raion,Ternopilska oblast | Chortkivskyi raion,78,50,4884.616666666667,62.6232905982906,36.675,366.45
Ternopilska oblast,Kremenetskyi raion,Ternopilska oblast | Kremenetskyi raion,78,50,4884.616666666667,62.6232905982906,36.675,366.45
Ternopilska oblast,Ternopilskyi raion,Ternopilska oblast | Ternopilskyi raion,78,50,4884.616666666667,62.6232905982906,36.675,366.45
Vinnytska oblast,Haisynskyi raion,Vinnytska oblast | Haisynskyi raion,154,88,11117.516666666666,72.19166666666666,32.56666666666666,514.3
Vinnytska oblast,Khmilnytskyi raion,Vinnytska oblast | Khmilnytskyi raion,152,90,10137.15,66.69177631578947,31.80833333333333,429.6
Vinnytska oblast,Mohyliv-Podilskyi raion,Vinnytska oblast | Mohyliv-Podilskyi raion,144,85,9703.0,67.38194444444444,31.125,476.0833333333333
Vinnytska oblast,Tulchynskyi raion,Vinnytska oblast | Tulchynskyi raion,149,87,10376.033333333333,69.63780760626398,32.05,514.55
Vinnytska oblast,Vinnytskyi raion,Vinnytska oblast | Vinnytskyi raion,157,91,11482.033333333333,73.13397027600848,32.05,507.05
Vinnytska oblast,Zhmerynskyi raion,Vinnytska oblast | Zhmerynskyi raion,146,86,9776.566666666668,66.96278538812784,30.80833333333333,476.1166666666667
Volynska oblast,Kamin-Kashyrskyi raion,Volynska oblast | Kamin-Kashyrskyi raion,86,55,5073.05,58.9889534883721,37.63333333333333,365.76666666666665
Volynska oblast,Kovelskyi raion,Volynska oblast | Kovelskyi raion,79,51,4151.55,52.55126582278481,36.96666666666667,365.76666666666665
