index,duration_minutes
count,48286.0
mean,133.49902732330972
std,250.85793705284144
min,0.0666666666666666
25%,25.58333333333333
50%,51.78333333333333
75%,137.86666666666667
90%,318.18333333333334
95%,527.05
max,5265.2
