cutoff_month_exclusive_for_historical_period,months_before,records_before,oblast_share_before,raion_share_before,months_after,records_after,oblast_share_after,raion_share_after
2025-07,40,147840,0.8167613636363636,0.02782738095238095,12,124859,0.07450804507484443,0.8268046356289895
2025-08,41,153950,0.8072880805456317,0.034465735628450796,11,118749,0.048598303985717774,0.8593082889119066
2025-09,42,162320,0.7794233612617053,0.06271562345983243,10,110379,0.03204413883075585,0.8803123782603575
2025-11,44,181614,0.7122578655830497,0.13274307046813572,8,91085,0.0076521930065323596,0.91387165834111
2025-12,45,197854,0.6554530108059479,0.195204544765332,7,74845,0.004930189057385263,0.9182443717015165
