oblast,raion,hromada,level,started_at,finished_at,duration_hours,duration_days,multiplicity
Odeska oblast,Podilskyi raion,,raion,2025-11-14 20:17:15+00:00,2025-11-14 20:17:15+00:00,0.0,0.0,2
Kharkivska oblast,Bohodukhivskyi raion,,raion,2025-11-17 01:13:53+00:00,2025-11-17 01:13:53+00:00,0.0,0.0,2
Odeska oblast,Podilskyi raion,,raion,2025-11-14 20:17:15+00:00,2025-11-14 20:17:15+00:00,0.0,0.0,2
Kharkivska oblast,Bohodukhivskyi raion,,raion,2025-11-17 01:13:53+00:00,2025-11-17 01:13:53+00:00,0.0,0.0,2
