cutoff_month_exclusive_for_historical_period,months_before,records_before,oblast_share_before,raion_share_before,months_after,records_after,oblast_share_after,raion_share_after
2025-07,40,73908,0.8167316122747199,0.02784542945283325,12,84946,0.056141548748616765,0.8516351564523345
2025-08,41,76968,0.8073355160586217,0.03437792329279701,11,81886,0.03655081454705322,0.8762792174486481
2025-09,42,81146,0.7795455105612107,0.06254159169891307,10,77708,0.024128789828589077,0.8921346579502754
2025-11,44,90806,0.7122546968262009,0.13270048234698148,8,68048,0.006686456618857277,0.9162796849282859
2025-12,45,98895,0.6556650993477932,0.19484301531927803,7,59959,0.004836638369552527,0.9194949882419653
