level,records,duplicate_instances,duplicate_excess,duplicate_instance_rate,duplicate_excess_rate
oblast,130053,129842,64921,0.9983775845232329,0.49918879226161644
hromada,35298,31954,15977,0.9052637543203581,0.45263187716017905
raion,107348,65894,32947,0.6138353765323993,0.30691768826619964
