year_month_kyiv,total_records,oblast,raion,hromada,oblast_share,raion_share,hromada_share
2026-01,8426,58,7663,705,0.00688345596961785,0.9094469499169238,0.08366959411345834
2026-02,7930,41,7351,538,0.005170239596469105,0.9269861286254729,0.06784363177805801
2026-03,9746,39,8908,799,0.004001641699158629,0.9140160065667966,0.08198235173404474
2026-04,8613,35,7889,689,0.0040636247532799255,0.9159410193892953,0.07999535585742483
2026-05,10085,58,9378,649,0.0057511155180961825,0.9298958849776896,0.06435299950421418
2026-06,7101,35,6603,463,0.004928883255879453,0.9298690325306295,0.06520208421349105
